
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-07-29 17:36:06 PC cycles counter frequency: 2900000000 Hz
2025-07-29 17:36:06 Found 1 device usable for the NTP daemon.
2025-07-29 17:36:06 Query-only mode, not updating SHM.
2025-07-29 17:36:06 GNS181PEX: Is synchronized
GNS181PEX: 2025-07-29 17:36:35.5600072 1753810595.560007334 1753810595.559949160 +0.000057936, ltcy: 0.18 us, exec: 0.30 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:36.5602994 1753810596.560299397 1753810596.560243368 +0.000055790, ltcy: 0.17 us, exec: 0.37 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:37.5605654 1753810597.560565472 1753810597.560513020 +0.000052214, ltcy: 0.16 us, exec: 0.28 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:38.5607782 1753810598.560778379 1753810598.560730219 +0.000047922, ltcy: 0.18 us, exec: 0.47 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:39.5610328 1753810599.561032772 1753810599.560989141 +0.000043392, ltcy: 0.16 us, exec: 0.29 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:40.5612421 1753810600.561242104 1753810600.561201334 +0.000040531, ltcy: 0.19 us, exec: 0.49 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:41.5614938 1753810601.561493874 1753810601.561455488 +0.000038147, ltcy: 0.18 us, exec: 0.36 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:42.5617308 1753810602.561730862 1753810602.561694622 +0.000036001, ltcy: 0.19 us, exec: 0.48 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:43.5619478 1753810603.561947823 1753810603.561913252 +0.000034332, ltcy: 0.19 us, exec: 0.24 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:44.5621709 1753810604.562170982 1753810604.562139273 +0.000031471, ltcy: 0.21 us, exec: 0.46 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:45.5623843 1753810605.562384367 1753810605.562356472 +0.000027657, ltcy: 0.21 us, exec: 0.48 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:46.5626544 1753810606.562654495 1753810606.562628746 +0.000025511, ltcy: 0.18 us, exec: 0.38 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:47.5628966 1753810607.562896729 1753810607.562872887 +0.000023603, ltcy: 0.18 us, exec: 0.30 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:48.5631446 1753810608.563144684 1753810608.563123226 +0.000021219, ltcy: 0.16 us, exec: 0.33 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
