
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-07-29 17:42:32 PC cycles counter frequency: 2900000000 Hz
2025-07-29 17:42:32 Found 1 device usable for the NTP daemon.
2025-07-29 17:42:32 Query-only mode, not updating SHM.
2025-07-29 17:42:32 GNS181PEX: Is synchronized
GNS181PEX: 2025-07-29 17:43:01.0311489 1753810981.031148911 1753810981.031113386 +0.000035286, ltcy: 0.13 us, exec: 0.13 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:02.0312749 1753810982.031275034 1753810982.031238794 +0.000036240, ltcy: 0.09 us, exec: 0.22 us, limit: 0.30 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:03.0313911 1753810983.031391144 1753810983.031358957 +0.000032187, ltcy: 0.10 us, exec: 0.05 us, limit: 0.30 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:04.0315261 1753810984.031526089 1753810984.031498909 +0.000027180, ltcy: 0.10 us, exec: 0.09 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:05.0316404 1753810985.031640530 1753810985.031617403 +0.000023127, ltcy: 0.05 us, exec: 0.16 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:06.0317997 1753810986.031799793 1753810986.031778574 +0.000021219, ltcy: 0.04 us, exec: 0.07 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:07.0319162 1753810987.031916142 1753810987.031896830 +0.000019312, ltcy: 0.10 us, exec: 0.26 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:08.0320608 1753810988.032060862 1753810988.032042027 +0.000018597, ltcy: 0.31 us, exec: 0.18 us, limit: 0.26 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:09.0322112 1753810989.032211304 1753810989.032192469 +0.000018835, ltcy: 0.04 us, exec: 0.12 us, limit: 0.26 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:10.0323155 1753810990.032315493 1753810990.032298803 +0.000016689, ltcy: 0.09 us, exec: 0.21 us, limit: 0.25 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:11.0324434 1753810991.032443523 1753810991.032432079 +0.000011444, ltcy: 0.04 us, exec: 0.07 us, limit: 0.23 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:12.0325596 1753810992.032559633 1753810992.032549381 +0.000010252, ltcy: 0.04 us, exec: 0.07 us, limit: 0.22 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:13.0326640 1753810993.032664061 1753810993.032654524 +0.000009537, ltcy: 0.04 us, exec: 0.07 us, limit: 0.21 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:14.0327846 1753810994.032784700 1753810994.032776594 +0.000008106, ltcy: 0.04 us, exec: 0.07 us, limit: 0.20 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:15.0329240 1753810995.032923937 1753810995.032916546 +0.000007391, ltcy: 0.04 us, exec: 0.08 us, limit: 0.19 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:16.0330442 1753810996.033044338 1753810996.033039093 +0.000005245, ltcy: 0.04 us, exec: 0.11 us, limit: 0.18 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:17.0331778 1753810997.033177853 1753810997.033174038 +0.000003815, ltcy: 0.05 us, exec: 0.09 us, limit: 0.18 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:18.0332857 1753810998.033285856 1753810998.033281088 +0.000004768, ltcy: 0.04 us, exec: 0.10 us, limit: 0.17 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:19.0333749 1753810999.033375025 1753810999.033367157 +0.000007868, ltcy: 0.04 us, exec: 0.12 us, limit: 0.17 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:20.0334997 1753811000.033499718 1753811000.033490181 +0.000009537, ltcy: 0.04 us, exec: 0.07 us, limit: 0.16 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:21.0336393 1753811001.033639431 1753811001.033629894 +0.000009537, ltcy: 0.04 us, exec: 0.08 us, limit: 0.16 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:22.0337819 1753811002.033782005 1753811002.033775806 +0.000006199, ltcy: 0.04 us, exec: 0.11 us, limit: 0.14 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:23.0339468 1753811003.033946753 1753811003.033940077 +0.000006676, ltcy: 0.04 us, exec: 0.07 us, limit: 0.14 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:24.0340588 1753811004.034058809 1753811004.034053087 +0.000005722, ltcy: 0.05 us, exec: 0.06 us, limit: 0.13 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:25.0341997 1753811005.034199715 1753811005.034194469 +0.000005245, ltcy: 0.03 us, exec: 0.07 us, limit: 0.12 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:26.0343394 1753811006.034339428 1753811006.034335613 +0.000003815, ltcy: 0.04 us, exec: 0.08 us, limit: 0.11 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:27.0344641 1753811007.034464121 1753811007.034459352 +0.000004768, ltcy: 0.04 us, exec: 0.11 us, limit: 0.11 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:28.0345917 1753811008.034591675 1753811008.034588575 +0.000003099, ltcy: 0.04 us, exec: 0.08 us, limit: 0.11 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:29.0346710 1753811009.034671068 1753811009.034671545 -0.000000477, ltcy: 0.05 us, exec: 0.10 us, limit: 0.11 us, st: 0x0014, NTP leap: 0x00
