
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-07-09 14:43:34 PC cycles counter frequency: 2900000000 Hz
2025-07-09 14:43:34 Found 1 device usable for the NTP daemon.
2025-07-09 14:43:34 Query-only mode, not updating SHM.
2025-07-09 14:43:34 GNS181PEX: Is synchronized
GNS181PEX: 2025-07-09 14:45:41.1825602 1752072341.182560205 1752072341.182677031 -0.000117064, ltcy: 0.19 us, exec: 0.32 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:42.1828029 1752072342.182802916 1752072342.182929277 -0.000126600, ltcy: 0.18 us, exec: 0.32 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:43.1830456 1752072343.183045626 1752072343.183169365 -0.000123978, ltcy: 0.16 us, exec: 0.32 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:44.1832881 1752072344.183288097 1752072344.183414698 -0.000126839, ltcy: 0.16 us, exec: 0.33 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:45.1835332 1752072345.183533192 1752072345.183652639 -0.000119448, ltcy: 0.05 us, exec: 0.08 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:46.1837294 1752072346.183729410 1752072346.183845520 -0.000116348, ltcy: 0.18 us, exec: 0.21 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:47.1839821 1752072347.183982134 1752072347.184098244 -0.000116348, ltcy: 0.18 us, exec: 0.32 us, limit: 0.30 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:48.1842267 1752072348.184226751 1752072348.184343100 -0.000116587, ltcy: 0.17 us, exec: 0.32 us, limit: 0.30 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:49.1844736 1752072349.184473515 1752072349.184588671 -0.000115395, ltcy: 0.18 us, exec: 0.32 us, limit: 0.30 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:50.1847427 1752072350.184742689 1752072350.184854984 -0.000112534, ltcy: 0.18 us, exec: 0.29 us, limit: 0.30 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:51.1849857 1752072351.184985876 1752072351.185103655 -0.000118017, ltcy: 0.18 us, exec: 0.29 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:52.1852221 1752072352.185222149 1752072352.185353756 -0.000131845, ltcy: 0.18 us, exec: 0.33 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:53.1854756 1752072353.185475588 1752072353.185611010 -0.000135660, ltcy: 0.18 us, exec: 0.28 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:54.1857443 1752072354.185744286 1752072354.185865402 -0.000121355, ltcy: 0.16 us, exec: 0.32 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:55.1859926 1752072355.185992718 1752072355.186110735 -0.000118256, ltcy: 0.18 us, exec: 0.32 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:56.1862461 1752072356.186246157 1752072356.186363697 -0.000117779, ltcy: 0.19 us, exec: 0.32 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:57.1864788 1752072357.186478853 1752072357.186604261 -0.000125647, ltcy: 0.14 us, exec: 0.24 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:58.1867095 1752072358.186709642 1752072358.186848640 -0.000139236, ltcy: 0.19 us, exec: 0.34 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:59.1869619 1752072359.186961889 1752072359.187101364 -0.000139713, ltcy: 0.19 us, exec: 0.33 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:00.1872013 1752072360.187201262 1752072360.187346935 -0.000145912, ltcy: 0.18 us, exec: 0.31 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:01.1874465 1752072361.187446594 1752072361.187593937 -0.000147581, ltcy: 0.18 us, exec: 0.32 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:02.1876968 1752072362.187696934 1752072362.187841415 -0.000144720, ltcy: 0.19 us, exec: 0.29 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:03.1879443 1752072363.187944412 1752072363.188089371 -0.000145197, ltcy: 0.18 us, exec: 0.33 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:04.1881908 1752072364.188190937 1752072364.188340425 -0.000149488, ltcy: 0.05 us, exec: 0.08 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:05.1883744 1752072365.188374519 1752072365.188524723 -0.000150442, ltcy: 0.16 us, exec: 0.31 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:06.1886254 1752072366.188625336 1752072366.188773870 -0.000148773, ltcy: 0.16 us, exec: 0.31 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:07.1888741 1752072367.188874245 1752072367.189019918 -0.000145674, ltcy: 0.04 us, exec: 0.07 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:08.1890477 1752072368.189047813 1752072368.189189672 -0.000142097, ltcy: 0.17 us, exec: 0.33 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:09.1893052 1752072369.189305305 1752072369.189447165 -0.000142097, ltcy: 0.18 us, exec: 0.31 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:10.1895588 1752072370.189558744 1752072370.189696789 -0.000138283, ltcy: 0.16 us, exec: 0.31 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:11.1898491 1752072371.189849138 1752072371.189992905 -0.000144005, ltcy: 0.19 us, exec: 0.30 us, limit: 0.29 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:12.1900721 1752072372.190072060 1752072372.190228462 -0.000156403, ltcy: 0.07 us, exec: 0.12 us, limit: 0.28 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:13.1902831 1752072373.190283060 1752072373.190436840 -0.000153780, ltcy: 0.04 us, exec: 0.11 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:14.1904472 1752072374.190447092 1752072374.190597057 -0.000149965, ltcy: 0.08 us, exec: 0.14 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:15.1906439 1752072375.190644026 1752072375.190802336 -0.000158310, ltcy: 0.05 us, exec: 0.08 us, limit: 0.26 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:16.1908604 1752072376.190860510 1752072376.191018105 -0.000157833, ltcy: 0.25 us, exec: 0.39 us, limit: 0.26 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:17.1911243 1752072377.191124201 1752072377.191276073 -0.000152111, ltcy: 0.18 us, exec: 0.30 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:18.1913874 1752072378.191387415 1752072378.191530943 -0.000143766, ltcy: 0.18 us, exec: 0.26 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:19.1916320 1752072379.191632032 1752072379.191780567 -0.000148773, ltcy: 0.17 us, exec: 0.35 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:20.1918595 1752072380.191859484 1752072380.192018032 -0.000158787, ltcy: 0.20 us, exec: 0.27 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:21.1921016 1752072381.192101717 1752072381.192258596 -0.000156879, ltcy: 0.10 us, exec: 0.18 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:22.1923149 1752072382.192315102 1752072382.192471266 -0.000156403, ltcy: 0.18 us, exec: 0.30 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:23.1925939 1752072383.192594051 1752072383.192752361 -0.000158548, ltcy: 0.18 us, exec: 0.32 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:24.1928561 1752072384.192856073 1752072384.193015575 -0.000159740, ltcy: 0.16 us, exec: 0.32 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:25.1930888 1752072385.193088770 1752072385.193249226 -0.000160694, ltcy: 0.16 us, exec: 0.31 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:26.1933248 1752072386.193324804 1752072386.193486691 -0.000161886, ltcy: 0.05 us, exec: 0.09 us, limit: 0.26 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:27.1934918 1752072387.193491936 1752072387.193655491 -0.000163555, ltcy: 0.08 us, exec: 0.13 us, limit: 0.25 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:28.1936854 1752072388.193685532 1752072388.193850994 -0.000165701, ltcy: 0.18 us, exec: 0.31 us, limit: 0.25 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:29.1939504 1752072389.193950415 1752072389.194112539 -0.000162363, ltcy: 0.18 us, exec: 0.31 us, limit: 0.26 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:30.1941989 1752072390.194198847 1752072390.194352150 -0.000153542, ltcy: 0.16 us, exec: 0.33 us, limit: 0.26 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:31.1944318 1752072391.194431782 1752072391.194586515 -0.000154972, ltcy: 0.18 us, exec: 0.35 us, limit: 0.26 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:32.1946659 1752072392.194665909 1752072392.194820881 -0.000154972, ltcy: 0.05 us, exec: 0.09 us, limit: 0.25 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:33.1948476 1752072393.194847584 1752072393.195013046 -0.000165701, ltcy: 0.19 us, exec: 0.31 us, limit: 0.25 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:34.1950828 1752072394.195082903 1752072394.195248365 -0.000165701, ltcy: 0.17 us, exec: 0.31 us, limit: 0.25 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:35.1953436 1752072395.195343733 1752072395.195505381 -0.000161886, ltcy: 0.15 us, exec: 0.31 us, limit: 0.25 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:36.1955959 1752072396.195595980 1752072396.195751429 -0.000155687, ltcy: 0.18 us, exec: 0.31 us, limit: 0.26 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:37.1958292 1752072397.195829391 1752072397.195979357 -0.000149965, ltcy: 0.04 us, exec: 0.08 us, limit: 0.25 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:38.1959992 1752072398.195999146 1752072398.196161747 -0.000162840, ltcy: 0.19 us, exec: 0.32 us, limit: 0.25 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:39.1962434 1752072399.196243525 1752072399.196406126 -0.000162840, ltcy: 0.18 us, exec: 0.31 us, limit: 0.26 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:40.1964905 1752072400.196490526 1752072400.196642637 -0.000152349, ltcy: 0.18 us, exec: 0.36 us, limit: 0.26 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:41.1967254 1752072401.196725368 1752072401.196873665 -0.000148296, ltcy: 0.06 us, exec: 0.10 us, limit: 0.25 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:42.1969116 1752072402.196911812 1752072402.197052956 -0.000141382, ltcy: 0.19 us, exec: 0.31 us, limit: 0.25 us, st: 0x0015, NTP leap: 0x03
2025-07-09 14:46:43 GNS181PEX: Is now synchronized
GNS181PEX: 2025-07-09 14:46:43.1971753 1752072403.197175264 1752072403.197308540 -0.000133514, ltcy: 0.22 us, exec: 0.33 us, limit: 0.25 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:44.1974726 1752072404.197472572 1752072404.197602749 -0.000130415, ltcy: 0.16 us, exec: 0.32 us, limit: 0.26 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:45.1977385 1752072405.197738409 1752072405.197865963 -0.000127792, ltcy: 0.18 us, exec: 0.32 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:46.1979917 1752072406.197991848 1752072406.198115110 -0.000123501, ltcy: 0.19 us, exec: 0.32 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:47.1982598 1752072407.198259830 1752072407.198377132 -0.000117540, ltcy: 0.19 us, exec: 0.47 us, limit: 0.28 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:48.1984776 1752072408.198477507 1752072408.198614120 -0.000136614, ltcy: 0.05 us, exec: 0.09 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:49.1986563 1752072409.198656321 1752072409.198798656 -0.000142574, ltcy: 0.21 us, exec: 0.33 us, limit: 0.28 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:50.1989663 1752072410.198966265 1752072410.199101925 -0.000135660, ltcy: 0.05 us, exec: 0.08 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:51.1991677 1752072411.199167728 1752072411.199299574 -0.000131845, ltcy: 0.04 us, exec: 0.07 us, limit: 0.26 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:52.1993206 1752072412.199320793 1752072412.199449539 -0.000128984, ltcy: 0.21 us, exec: 0.40 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:53.1995952 1752072413.199595213 1752072413.199721098 -0.000126123, ltcy: 0.19 us, exec: 0.30 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:46:54.1519468 1752072414.151946783 1752072414.152072668 -0.000125885, ltcy: 0.09 us, exec: 0.30 us, limit: 0.28 us, st: 0x0014, NTP leap: 0x00, retries: 1 <<
